scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,carry_annual_lag_23,17,0.0005038644071196748,positive,0.0008406461191363869,0.5882352941176471,0.4117647058823529
aggregate,xz_carry_lag_23,17,-0.0016784765640374302,negative,0.002710960482092766,0.058823529411764705,0.9411764705882353
aggregate,log_return_lag_22,17,-4.5582488256379844e-05,negative,0.0003488729600777859,0.29411764705882354,0.7058823529411765
aggregate,volatility_lag_22,17,7.85922669988433e-05,positive,0.00029142456492863684,0.5882352941176471,0.4117647058823529
aggregate,sma20_ratio_lag_22,17,-0.001715063629515093,negative,0.001715063629515093,0.0,1.0
aggregate,mom24_lag_22,17,-0.00030250770675866254,negative,0.00030637723752046145,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_22,17,7.1122742995619e-05,positive,0.00010694941780486098,0.5294117647058824,0.47058823529411764
aggregate,xr_mom24_lag_22,17,0.0001515653087968314,positive,0.0001515653087968314,1.0,0.0
aggregate,carry_annual_lag_22,17,0.0022079276914379535,positive,0.0022699769812221542,0.9411764705882353,0.058823529411764705
aggregate,xz_carry_lag_22,17,-0.0022611352004528753,negative,0.0023976557016212887,0.058823529411764705,0.9411764705882353
aggregate,log_return_lag_21,17,-0.0008930211707821291,negative,0.0009422659271289473,0.058823529411764705,0.9411764705882353
aggregate,volatility_lag_21,17,0.0005511943233932092,positive,0.0005511943233932092,1.0,0.0
aggregate,sma20_ratio_lag_21,17,0.00597561779836843,positive,0.00597561779836843,1.0,0.0
aggregate,mom24_lag_21,17,0.00038273153982602555,positive,0.00038273153982602555,1.0,0.0
aggregate,xz_mom24_lag_21,17,-0.0001336564845516182,negative,0.0001336564845516182,0.0,1.0
aggregate,xr_mom24_lag_21,17,-5.552399766576745e-05,negative,8.253738589733862e-05,0.4117647058823529,0.5882352941176471
aggregate,carry_annual_lag_21,17,0.0007578998323484088,positive,0.002061392854805882,0.9411764705882353,0.058823529411764705
aggregate,xz_carry_lag_21,17,-0.00031733178832842865,negative,0.001307355952181928,0.11764705882352941,0.8823529411764706
aggregate,log_return_lag_20,17,0.002002228438464574,positive,0.002002228438464574,1.0,0.0
aggregate,volatility_lag_20,17,-4.4456591147839944e-05,negative,0.00021229803918519676,0.23529411764705882,0.7647058823529411
aggregate,sma20_ratio_lag_20,17,-0.005567883834739692,negative,0.005567883834739692,0.0,1.0
aggregate,mom24_lag_20,17,-0.00016314924929429264,negative,0.00023364482464852503,0.17647058823529413,0.8235294117647058
aggregate,xz_mom24_lag_20,17,0.00023191000681779266,positive,0.00023191000681779266,1.0,0.0
aggregate,xr_mom24_lag_20,17,-1.8775236103583086e-06,negative,5.206730614660165e-05,0.5294117647058824,0.47058823529411764
aggregate,carry_annual_lag_20,17,0.004242914112332635,positive,0.004242914112332635,1.0,0.0
aggregate,xz_carry_lag_20,17,-0.004228467065372036,negative,0.004228467065372036,0.0,1.0
aggregate,log_return_lag_19,17,-0.00044043062991374254,negative,0.0004623640282234314,0.11764705882352941,0.8823529411764706
aggregate,volatility_lag_19,17,0.0003854076669858215,positive,0.000402138431531676,0.9411764705882353,0.058823529411764705
aggregate,sma20_ratio_lag_19,17,-0.0021536914564797565,negative,0.0021536914564797565,0.0,1.0
aggregate,mom24_lag_19,17,-0.0002766406154622217,negative,0.00028731532792466595,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_19,17,-8.2143677111583e-05,negative,9.999135189302681e-05,0.11764705882352941,0.8823529411764706
aggregate,xr_mom24_lag_19,17,-9.703938214010777e-05,negative,0.0001256423243428468,0.11764705882352941,0.8823529411764706
aggregate,carry_annual_lag_19,17,-0.002645915357868756,negative,0.0027622584537910083,0.29411764705882354,0.7058823529411765
aggregate,xz_carry_lag_19,17,0.002341800229421849,positive,0.002489504189522325,0.5882352941176471,0.4117647058823529
